DESCRIPTION,LOCATION,MANUFACTURER,MODEL,YEAR,FUEL TYPE,KMS DRIVEN,PRICE
Maruti suzuki omni van,Bengaluru,Maruti Suzuki,Omni,2010,Petrol,24000,210000
Skoda Rapid 1.5 Tdi Cr Ambition (make Year 2012) (diesel),Bengaluru,Skoda,Rapid,2012,Diesel,53000,530000
Hyundai Santro GL Plus,Bengaluru,Hyundai,Santro Xing,2013,Petrol,25400,315000
Chevrolet Beat Lt Petrol (make Year 2013) (petrol),Bengaluru,Chevrolet,Beat,2013,Petrol,26000,365000
Skoda Laura Elegance 2.0 Tdi Cr At (make Year 2010) (diesel),Bengaluru,Skoda,Laura,2010,Diesel,89000,790000
Hyundai I20 Magna (o) 1.4 Crdi (make Year 2010) (diesel),Bengaluru,Hyundai,I20,2010,Diesel,63000,385000
2010 Maruti Suzuki Swift diesel 52000 Kms,Bengaluru,Maruti Suzuki,Swift,2010,Diesel,52000,550000
Hyundai I10 Sportz 1.2 (make Year 2010) (petrol),Bengaluru,Hyundai,I10,2010,Petrol,62000,305000
Honda Brio S Mt (make Year 2012) (petrol),Bengaluru,Honda,Brio,2012,Petrol,52000,379000
Hyundai Eon 1.0 Kappa Magna + (make Year 2013) (petrol),Bengaluru,Hyundai,Eon,2013,Petrol,32000,305000
Chevrolet Beat Ps Diesel (make Year 2012) (diesel),Bengaluru,Chevrolet,Beat,2012,Diesel,48000,325000
Hyundai Santro Xing Gls (make Year 2010) (petrol),Bengaluru,Hyundai,Santro Xing,2010,Petrol,57801,315000
Volkswagen Polo Comfortline 1.2l (p) (make Year 2012) (petro,Bengaluru,Volkswagen,Polo,2012,Petrol,26000,485000
Hyundai I20 Magna (o) 1.4 Crdi (make Year 2012) (petrol),Bengaluru,Hyundai,I20,2012,Petrol,59510,550000
2011 Hyundai I20 petrol 61000 Kms,Bengaluru,Hyundai,I20,2011,Petrol,61000,375000
Hyundai Santro Xing Gls (make Year 2010) (petrol),Bengaluru,Hyundai,Santro Xing,2010,Petrol,47625,325000
Ford Fiesta diesel 83000 Kms 2011 year,Bengaluru,Ford,Fiesta,2011,Diesel,83000,425000
Nissan Micra Xl (make Year 2014) (petrol),Bengaluru,Nissan,Micra,2014,Petrol,3000,475000
Hyundai I10 Magna 1.2 (make Year 2010) (petrol),Bengaluru,Hyundai,I10,2010,Petrol,55000,315000
Hyundai I20 Sportz 1.2 (make Year 2012) (diesel),Bengaluru,Hyundai,I20,2012,Diesel,51618,535000
Volkswagen Vento Diesel Style (make Year 2011) (diesel),Bengaluru,Volkswagen,Vento,2011,Diesel,105377,260000
"Excellent Condition, single owner Ford Figo Diesel ZXI for Sale",Bengaluru,Ford,Figo,2012,Diesel,73000,350000
Volkswagen Polo Comfortline 1.2l (d) (make Year 2012) (diese,Bengaluru,Volkswagen,Polo,2012,Diesel,39000,535000
Maruti Suzuki Swift Vdi (make Year 2012) (diesel),Bengaluru,Maruti Suzuki,Swift,2012,Diesel,56832,535000
Maruti Suzuki Ertiga Vdi (make Year 2012) (diesel),Bengaluru,Maruti Suzuki,Ertiga,2012,Diesel,49000,720000
Renault Duster car 2015 driven for just 8000Km for Sale,Bengaluru,Renault,Duster,2015,Diesel,8000,1000000
Hyundai I20 Magna 1.2 (make Year 2010) (petrol),Bengaluru,Hyundai,I20,2010,Petrol,70000,433000
Toyota Innova Crysta 2.5 Vx Bs-iv (make Year 2016) (diesel),Bengaluru,Toyota,Innova,2016,Diesel,11070,2295000
Chevrolet Sail U-va 1.2 Ls (make Year 2013) (petrol),Bengaluru,Chevrolet,Sail Uva,2016,Petrol,30000,385000
Ford Endeavour 3.0l 4x2 At (make Year 2011) (diesel),Bengaluru,Ford,Endeavour,2011,Diesel,59000,1250000
Honda City Sv Diesel (make Year 2014) (diesel),Bengaluru,Honda,City,2014,Diesel,35700,950000
Maruti Suzuki Swift Vxi petrol 2013 year,Bengaluru,Maruti Suzuki,Swift,2013,Petrol,50000,520000
Mahindra Xuv500 W10 (make Year 2016) (diesel),Bengaluru,Mahindra,Xuv500,2016,Diesel,3900,1950000
Honda City petrol 23000 Kms 2014 year,Bengaluru,Honda,City,2014,Petrol,23000,1050000
Hyundai Grand I10 Sportz At 1.2 Kappa Vtvt (make Year 2015),Bengaluru,Hyundai,Grand I10,2015,Petrol,11600,660000
Maruti Suzuki Alto Xcite - Limited Edition (Make Year - 2010),Bengaluru,Maruti Suzuki,Alto,2010,Petrol,49000,240000
Hyundai I20 Sportz 1.4 Crdi (make Year 2012) (diesel),Bengaluru,Hyundai,I20,2012,Diesel,63000,510000
Toyota Fortuner 3.0 4x4 Mt (make Year 2012) (diesel),Bengaluru,Toyota,Fortuner,2012,Diesel,94500,2150000
Mercedes-benz E-class (make Year 2014) (diesel),Bengaluru,Mercedes-Benz,E Class,2014,Diesel,29423,3749000
2014 Tata Indica Vista diesel 130000 Kms,Bengaluru,Tata,Indica Vista,2014,Diesel,130000,385000
Ford Figo Duratorq Diesel Titanium 1.4 (make Year 2013) (die,Bengaluru,Ford,Figo,2013,Diesel,56000,425000
Tata Nano petrol 23544 Kms 2012 year,Bengaluru,Tata,Nano,2012,Petrol,23544,45000
Maruti Suzuki Celerio Vxi At (make Year 2014) (petrol),Bengaluru,Maruti Suzuki,Celerio,2014,Petrol,19500,455000
Maruti Suzuki Swift Vdi Bs-iv (make Year 2013) (diesel),Bengaluru,Maruti Suzuki,Swift,2013,Diesel,70000,525000
Maruthi ritzzzz,Bengaluru,Maruti Suzuki,Ritz,2015,Diesel,55000,450000
Maruti Suzuki Swift Dzire diesel 39600 Kms 2015 year,Bengaluru,Maruti Suzuki,Swift Dzire,2015,Diesel,39600,580000
Maruti Suzuki A-star Vxi At (make Year 2012) (petrol),Bengaluru,Maruti Suzuki,A Star,2012,Petrol,57500,350000
Hyundai Eon Magna + (make Year 2014) (petrol),Bengaluru,Hyundai,Eon,2014,Petrol,33400,335000
